Date,Thực tế,Dự đoán theo LSTM,Dự đoán theo GRU,Dự đoán theo BiLSTM,Dự đoán theo Transformers,Dự đoán theo mô hình ConvLSTM
2020-01-15 20:00:00,1.0,1.0716319,1.1086847,0.99208987,1.0246562,1.0015699
2020-01-15 22:00:00,1.0,1.0627706,1.1165978,1.0151496,1.0246562,0.98444957
2020-01-16 00:00:00,1.0,1.0668885,1.1044478,0.98823583,1.0247809,0.9692687
2020-01-16 02:00:00,1.0,1.0698398,1.1080458,1.0065875,1.0246533,0.9677405
2020-01-16 04:00:00,1.0,1.0500871,1.1042017,1.0117033,1.024751,0.96577775
2020-01-16 06:00:00,1.0,1.0709356,1.1112003,0.9961134,1.0246545,0.96132046
2020-01-16 08:00:00,1.0,1.0600032,1.1014475,0.99825907,1.0247687,0.95132405
2020-01-16 10:00:00,1.0,1.0323915,1.124574,1.0310605,1.0246391,0.9397541
2020-01-16 12:00:00,1.0,1.0165807,1.1259145,1.0412829,1.0245796,0.9352512
2020-01-16 14:00:00,1.0,1.0044545,1.1329433,1.0425901,1.0245854,0.94288015
2020-01-16 16:00:00,1.0,0.98898154,1.1497204,1.0609722,1.0245707,0.9733869
2020-01-16 18:00:00,2.0,1.9313759,2.022881,2.0231144,1.9577141,1.9737082
2020-01-16 20:00:00,2.0,1.9610599,2.0853653,2.0511167,1.8979892,1.9217975
2020-01-16 22:00:00,1.0,0.9925083,1.1529925,1.0666963,1.0245616,0.9034427
2020-01-17 00:00:00,1.55050904833969,1.505973,1.6292654,1.5811604,1.0936167,1.4630241
2020-01-17 02:00:00,1.59401789400801,1.5647393,1.6662592,1.5990973,1.172409,1.5435114
2020-01-17 04:00:00,1.7583908636028,1.717031,1.8096359,1.7571454,1.7830775,1.7266743
2020-01-17 06:00:00,1.35075125592475,1.3514804,1.4294378,1.370352,1.039067,1.3273382
2020-01-17 08:00:00,1.10080163564348,1.1097716,1.2009912,1.1380614,1.0253018,1.0492698
2020-01-17 10:00:00,1.20442440318898,1.1920174,1.3037885,1.2299268,1.0281267,1.1515301
2020-01-17 12:00:00,1.0,1.0063429,1.0963604,1.0518711,1.0246842,0.9313457
2020-01-17 14:00:00,1.0,1.0483532,1.1411268,1.039679,1.0244758,0.9586557
2020-01-17 16:00:00,1.0,1.0485955,1.135647,0.9938107,1.0244477,0.99364525
2020-01-17 18:00:00,1.52847888613803,1.5429504,1.5865917,1.4697245,1.2169734,1.5424492
2020-01-17 20:00:00,1.0,1.1063116,1.1416439,0.9649351,1.0246245,0.96750706
2020-01-17 22:00:00,4.0,4.1235213,4.0181355,3.9567158,4.2377496,4.017467
2020-01-18 00:00:00,2.0,1.9683628,2.1615171,2.0205529,1.75225,1.857703
2020-01-18 02:00:00,1.0,0.96138996,1.1772683,1.0118587,1.0246277,0.88193643
2020-01-18 04:00:00,1.0,1.0252424,1.1661433,1.0328257,1.0245088,0.97549474
2020-01-18 06:00:00,1.09474955601807,0.98671883,1.1454291,1.0887785,1.0256802,1.0261668
2020-01-18 08:00:00,1.09046590172838,1.0792731,1.1510614,1.117434,1.0269402,1.0644076
2020-01-18 10:00:00,2.0,1.9327388,1.9585979,2.0211096,1.9907429,1.9275852
2020-01-18 12:00:00,1.0,1.1056352,1.0457176,1.0789275,1.0252917,0.93738395
2020-01-18 14:00:00,1.0,1.0177819,1.0732168,1.0040474,1.0263146,0.95991695
2020-01-18 16:00:00,2.0,1.9230444,1.9181174,1.9702517,1.9241382,1.946402
2020-01-18 18:00:00,1.0,1.0196939,1.0670993,1.0207334,1.0248199,0.9578464
